question,option1,option2,option3,option4,correct_answer,mark_weightage,level,subtopic_id
A man buys a pen for Rs. 20 and sells it for Rs. 25. What is his profit,Rs. 5,Rs. 10,Rs. 2,Rs. 3,1,1,1,1
If the Cost Price CP is Rs. 100 and the Selling Price SP is Rs. 120 the profit is,Rs. 10,Rs. 20,Rs. 30,Rs. 120,2,1,1,1
A toy bought for Rs. 50 is sold for Rs. 45. What is the loss,Rs. 10,Rs. 2,Rs. 5,Rs. 15,3,1,1,1
If CP Rs. 500 and SP Rs. 400 then the loss is,Rs. 50,Rs. 100,Rs. 200,Rs. 900,2,1,1,1
A shopkeeper buys a book for Rs. 80 and sells it for Rs. 100. Find his profit percentage.,20%,25%,10%,15%,2,2,1,1
An article is bought for Rs. 200 and sold for Rs. 180. Find the loss percentage.,5%,15%,10%,20%,3,2,1,1
Sita bought a bag for Rs. 250 and sold it for Rs. 300. What is her gain percent,20%,25%,15%,30%,1,2,1,1
The cost price of an item is Rs. 1500. If it is sold at a loss of 10% what is the selling price,Rs. 1350,Rs. 1400,Rs. 1650,Rs. 1450,1,2,1,1
Profit is calculated on the,Selling Price,Marked Price,Cost Price,Discount,3,1,1,1
Loss is the difference between,CP and SP when SP CP,CP and SP when CP SP,MP and SP,None of these,2,1,1,1
A fruit seller buys apples at Rs. 10 each and sells them at Rs. 12 each. His profit per apple is,Rs. 1,Rs. 2,Rs. 3,Rs. 4,2,1,1,1
If a bicycle is bought for Rs. 1000 and sold for Rs. 800 the loss percent is,10%,25%,15%,20%,4,2,1,1
A man makes a profit of Rs. 50 on an item he sold for Rs. 250. What was the cost price,Rs. 150,Rs. 300,Rs. 200,Rs. 100,3,1,1,1
A chair is sold for Rs. 500 with a profit of Rs. 100. The cost price is,Rs. 600,Rs. 400,Rs. 500,Rs. 300,2,1,1,1
Formula for Profit Percent is,Profit SP 100,Profit CP 100,Loss CP 100,SP CP 100,2,1,1,1
A product costs Rs. 400 and is sold at a 20% profit. What is the selling price,Rs. 420,Rs. 450,Rs. 480,Rs. 500,3,2,1,1
If an item is sold for Rs. 110 the profit is 10%. What is the cost price,Rs. 121,Rs. 99,Rs. 100,Rs. 105,3,2,1,1
What is the single term for the price at which an article is purchased,Selling Price,Marked Price,Cost Price,List Price,3,1,1,1
What is the loss if CP is Rs. 75 and SP is Rs. 60,Rs. 5,Rs. 10,Rs. 15,Rs. 20,3,1,1,1
A radio is bought for Rs. 900 and sold for Rs. 1080. Find the gain percent.,10%,20%,25%,15%,2,2,1,1
If Selling Price is less than Cost Price there is a,Profit,Loss,No profit no loss,Discount,2,1,1,1
A vendor buys lemons at Rs. 25 per dozen and sells them at 5 for Rs. 12. Find his gain or loss percent.,10% gain,5% loss,4% gain,4% loss,3,2,1,1
The cost of an article is Rs. 50. It is sold at a profit of 12%. Find the selling price.,Rs. 55,Rs. 56,Rs. 58,Rs. 60,2,2,1,1
A man sold a fan for Rs. 450 incurring a loss of Rs. 50. The cost price was,Rs. 400,Rs. 500,Rs. 550,Rs. 475,2,1,1,1
A shopkeeper sells rice at Rs. 10 per kg and makes a profit of 25%. The cost price of the rice per kg is,Rs. 6,Rs. 7,Rs. 8,Rs. 9,3,2,1,1
By selling an article for Rs. 100 a man gains Rs. 15. Then his gain % is,15%,12.50%,17.64%,18%,3,2,1,1
If CP Rs. 950 and gain 6% find the SP.,Rs. 1007,Rs. 1000,Rs. 997,Rs. 1017,1,2,1,1
If SP Rs. 880 and loss 12% find the CP.,Rs. 1000,Rs. 900,Rs. 950,Rs. 1100,1,2,1,1
Overhead charges are added to the,Selling Price,Marked Price,Cost Price,Discount,3,1,1,1
A man buys eggs at 2 for Re. 1 and sells at 5 for Rs. 3. His gain or loss percent is,10% gain,20% loss,20% gain,10% loss,3,2,1,1
The price at which an article is sold is called,Cost Price,Selling Price,Market Price,Discount Price,2,1,1,1
If an article costs Rs. 80 and sells for Rs. 100 the profit margin on cost is,20%,25%,30%,15%,2,2,1,1
A table is bought for Rs. 750 and sold at a loss of 6%. How much did it sell for,Rs. 705,Rs. 715,Rs. 725,Rs. 695,1,2,1,1
If the cost price is 95% of the selling price what is the profit percent,4%,4.75%,5%,5.26%,4,2,1,1
A dealer sold a camera for Rs. 1080 gaining 18 of its cost price. Find the cost price.,Rs. 900,Rs. 960,Rs. 860,Rs. 1000,2,2,1,1
If an article is sold at a 5% gain instead of 5% loss a man gains Rs. 5 more. Find the cost price.,Rs. 50,Rs. 100,Rs. 150,Rs. 200,1,2,1,1
Find the profit if CP Rs. 345 and SP Rs. 372.60.,Rs. 27.60,Rs. 30,Rs. 25.60,Rs. 22.40,1,1,1,1
A mobile phone is sold for Rs. 8400 at a gain of 20%. The cost price of the mobile is,Rs. 6000,Rs. 7000,Rs. 7500,Rs. 8000,2,2,1,1
An item was sold for Rs. 423 resulting in a 6% profit. What was the cost price,Rs. 350,Rs. 375,Rs. 400,Rs. 410,3,2,1,1
A man bought a cycle for Rs. 250. How much should he sell it for to gain 10%,Rs. 260,Rs. 275,Rs. 280,Rs. 300,2,1,1,1
Find loss percent if CP Rs. 500 and SP Rs. 450.,5%,10%,12%,15%,2,1,1,1
A person incurs a loss of 5% by selling a watch for Rs. 1140. At what price should the watch be sold to earn a 5% profit,Rs. 1200,Rs. 1260,Rs. 1300,Rs. 1320,2,2,1,1
The formula for Selling Price SP when there is a profit is,CP 100 Profit% 100,CP 100 Loss% 100,CP Loss,CP Profit,1,1,1,1
Ram buys a watch for Rs. 500 and sells it to Shyam at 10% profit. Shyam sells it to Mohan at 20% profit. How much does Mohan pay,Rs. 600,Rs. 650,Rs. 660,Rs. 700,3,2,1,1
If the cost price of 12 pens is equal to the selling price of 8 pens the gain percent is,25%,33.33%,50%,60%,3,2,1,1
The difference between the cost price and selling price is called,Discount,Profit or Loss,Tax,Overhead,2,1,1,1
A shopkeeper expects a gain of 20% on his cost price. If his sale in a week is Rs. 480 what was his profit,Rs. 60,Rs. 72,Rs. 80,Rs. 96,3,2,1,1
An article is sold for Rs. 300 at a profit of 20%. What is its cost price,Rs. 240,Rs. 250,Rs. 260,Rs. 280,2,2,1,1
What is the profit if a book costing Rs. 150 is sold for Rs. 200,Rs. 25,Rs. 50,Rs. 75,Rs. 100,2,1,1,1
A dealer buys a TV for Rs. 10000 and sells it for Rs. 12000. What is his profit percentage,10%,15%,20%,25%,3,1,1,1
By selling an article for Rs. 720 a man loses 10%. At what price should he sell it to gain 5%,Rs. 800,Rs. 840,Rs. 900,Rs. 875,2,2,2,1
A shopkeeper sells his goods at cost price but uses a weight of 800 g instead of 1 kg. What is his actual profit percentage,20%,25%,15%,30%,2,2,2,1
The cost price of 15 articles is the same as the selling price of 10 articles. The profit percent is,30%,40%,50%,45%,3,2,2,1
A man sold two flats for Rs. 675958 each. On one he gains 16% while on the other he loses 16%. His gain or loss % in the whole transaction is,2.56% loss,2.56% gain,3% loss,No profit no loss,1,2,2,1
A trader mixes 25 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 30 per kg and sells the mixture at Rs. 27.5 per kg. His profit percent is,10%,11%,12%,12.50%,1,2,2,1
If a product is sold at a 14th discount on the marked price the profit is 20%. What is the ratio of the Cost Price to the Marked Price,508,805,304,403,1,2,2,1
A shopkeeper marks his goods 20% above the cost price and gives a 10% discount. What is his profit percentage,10%,12%,9%,8%,4,2,2,1
A man bought oranges at 6 for Rs. 20 and sold them at 4 for Rs. 18. His gain or loss percent is,25% loss,35% gain,40% loss,30% gain,2,2,2,1
The profit earned after selling an article for Rs. 1754 is the same as the loss incurred after selling the article for Rs. 1492. What is the cost price of the article,Rs. 1523,Rs. 1580,Rs. 1623,Rs. 1688,3,2,2,1
A cloth merchant on selling 33 metres of cloth obtains a profit equal to the selling price of 11 metres of cloth. The profit percent is,40%,22%,50%,11%,3,2,2,1
A person sells 36 oranges per rupee and incurs a loss of 4%. Find how many oranges per rupee to be sold to have a gain of 8%.,30,32,28,25,2,2,2,1
After a discount of 25% an article is sold for Rs. 720. What is its marked price,Rs. 900,Rs. 960,Rs. 1000,Rs. 850,2,2,2,1
A shopkeeper cheats to the extent of 10% while buying as well as selling by using false weights. His total gain is,20%,21%,22%,23%,2,2,2,1
A cycle is sold for Rs. 880 at a loss of 20%. For how much should it be sold to gain 10%,Rs. 1100,Rs. 1210,Rs. 1150,Rs. 1200,2,2,2,1
The marked price of a watch was Rs. 720. A man bought the same for Rs. 550.80 after getting two successive discounts the first being 10%. What was the second discount rate,12%,15%,18%,20%,2,2,2,1
A sells a bicycle to B at a profit of 20%. B sells it to C at a profit of 25%. If C pays Rs. 225 for it the cost price of the bicycle for A is,Rs. 110,Rs. 125,Rs. 120,Rs. 150,4,2,2,1
A man buys an article for 10% less than its value and sells it for 10% more than its value. His gain or loss percent is,20%,22.22%,18%,No profit no loss,2,2,2,1
By selling 100 pencils a shopkeeper gains the selling price of 20 pencils. His gain percent is,25%,20%,15%,12%,1,2,2,1
A book was sold for Rs. 27.50 with a profit of 10%. If it were sold for Rs. 25.75 then what would have been the percentage of profit or loss,2% profit,3% profit,2% loss,3% loss,2,2,2,1
If the selling price of an article is doubled the profit triples. Find the profit percent.,50%,80%,100%,120%,3,2,2,1
A shopkeeper allows a discount of 10% on the marked price. How much above the cost price must he mark his goods to make a profit of 17%,27%,18%,30%,25%,3,2,2,1
A trader sold an item at a loss of 20%. Had he sold it for Rs. 100 more he would have gained 5%. The cost price of the item is,Rs. 300,Rs. 360,Rs. 400,Rs. 450,3,2,2,1
The ratio of the cost price and the selling price is 45. The profit percent is,10%,20%,25%,30%,3,1,2,1
A man buys 12 articles for Rs. 12 and sells them at the rate of Rs. 1.25 per article. His gain percentage is,20%,25%,15%,18%,2,2,2,1
The percentage profit earned by selling an article for Rs. 1920 is equal to the percentage loss incurred by selling the same article for Rs. 1280. At what price should the article be sold to make 25% profit,Rs. 2000,Rs. 2200,Rs. 2400,Rs. 1800,1,2,2,1
A fruit seller had some apples. He sells 40% apples and still has 420 apples. Originally he had,588 apples,600 apples,672 apples,700 apples,4,1,2,1
If selling price is Rs. 144 and profit is 20% the cost price is,Rs. 110,Rs. 120,Rs. 130,Rs. 115,2,2,2,1
A trader professes to sell his goods at a loss of 8% but uses a weight of 900 grams in place of a 1 kg weight. What is his real loss or gain per cent,2% gain,2.22% gain,2% loss,2.22% loss,2,2,2,1
A dealer marks his goods 30% above the cost price and then allows a 15% discount on it. Find the profit percent.,10.50%,11.50%,12%,15%,1,2,2,1
If the cost price of 50 oranges is equal to the selling price of 40 oranges then the profit percent is,5%,10%,20%,25%,4,2,2,1
A man buys a fan for Rs. 1000 and sells it at a loss of 15%. What is the selling price of the fan,Rs. 850,Rs. 900,Rs. 750,Rs. 950,1,1,2,1
Due to a 25% reduction in the price of sugar a person can buy 5 kg more for Rs. 300. Find the original price of the sugar per kg.,Rs. 15,Rs. 20,Rs. 25,Rs. 30,2,2,2,1
A shopkeeper gives two successive discounts of 10% and 20%. What is the equivalent single discount,30%,28%,25%,22%,2,2,2,1
The cost price of an article is 80% of its marked price for sale. How much per cent does the tradesman gain after allowing a discount of 12%,20%,12.50%,10%,8%,3,2,2,1
Peter purchased a machine for Rs. 80000 and spent Rs. 5000 on repair and Rs. 1000 on transport and sold it with 25% profit. At what price did he sell the machine,Rs. 105000,Rs. 106250,Rs. 107500,Rs. 110000,3,2,2,1
A dishonest milkman professes to sell his milk at cost price but he mixes it with water and thereby gains 25%. The percentage of water in the mixture is,20%,25%,15%,30%,1,2,2,1
A vendor loses the selling price of 4 oranges on selling 36 oranges. His loss per cent is,10%,11.11%,12.50%,9%,1,2,2,1
A reduction of 20% in the price of wheat enables a person to buy 3.5 kg more wheat for Rs. 770. The original price of the wheat is,Rs. 45 per kg,Rs. 48 per kg,Rs. 55 per kg,Rs. 60 per kg,3,2,2,1
A shopkeeper marks the price of an item 50% above its cost price. What is the maximum discount percentage that he can offer so that he ends up with no profit and no loss,50%,40%,33.33%,25%,3,2,2,1
If the loss on an article is 13 of the selling price the loss percentage is,16.66%,20%,25%,33.33%,3,2,2,1
A retailer buys 40 pens at the marked price of 36 pens from a wholesaler. If he sells these pens giving a discount of 1% what is the profit percent,9%,10%,10.10%,11%,2,2,2,1
Alfred buys an old scooter for Rs. 4700 and spends Rs. 800 on its repairs. If he sells the scooter for Rs. 5800 his gain percent is,4.50%,5.45%,5%,6%,2,1,2,1
The profit obtained by selling an article for Rs. 56 is the same as the loss obtained by selling it for Rs. 42. What is the cost price,Rs. 49,Rs. 50,Rs. 51,Rs. 52,1,2,2,1
A person sold an article at a profit of 12%. If he had sold it for Rs. 3.60 more he would have gained 18%. What is the cost price,Rs. 50,Rs. 60,Rs. 70,Rs. 80,2,2,2,1
A man wanted to sell his bat at a discount of 8%. His brother who was a cricketer wanted to buy the bat so the man sells it at a discount of 10%. In this deal the man reduces his profit by Rs. 70. What was the marked price of the bat,Rs. 3200,Rs. 3500,Rs. 3800,Rs. 4000,2,2,2,1
By selling an article Michael earned a profit equal to onefourth of the price he bought it. If he sold it for Rs. 375 what was the cost price,Rs. 280.75,Rs. 300,Rs. 312.50,Rs. 350,2,2,2,1
An article is sold at a certain price. By selling it at 23 of that price one loses 10%. Find the gain percent at the original price.,20%,30%,35%,40%,3,2,2,1
A shopkeeper bought 30 kg of wheat at the rate of Rs. 45 per kg. He sold forty percent of the total quantity at the rate of Rs. 50 per kg. Approximately at what price per kg should he sell the remaining quantity to make 25 percent overall profit,Rs. 54,Rs. 56,Rs. 58,Rs. 60,2,2,2,1
The C.P. of two dozen mangoes is Rs. 32. After selling 18 mangoes at Rs. 12 per dozen the shopkeeper reduced the rate to Rs. 4 per dozen. The percent loss is,15%,20%,25%,37.50%,4,2,2,1
A man purchases a certain number of articles at 3 per rupee and the same number at 4 per rupee. He mixes them and sells them at 3 per rupee. What is his gain or loss percent,14.28% loss,14.28% gain,16.66% gain,16.66% loss,2,2,2,1
A dishonest dealer professes to sell his goods at cost price but he uses a weight of 950 grams for a kilogram. What is his actual profit percentage,5%,5.26%,5.50%,5.12%,2,1,3,1
A merchant marks up an item by 40% and then offers a 20% discount. What is the overall profit or loss percentage,12% profit,12% loss,20% profit,20% loss,1,1,3,1
A seller buys two watches for a total of 10000. He sells one at a 20% profit and the other at a 10% loss. If the selling price of both watches is the same what is the cost price of the watch sold at a profit40005000,6,0,7,0,3,2,3,1
A dishonest dealer professes to sell his goods at cost price but he uses a weight of 950 grams for a kilogram. What is his actual profit percentage,5%,5.26%,5.50%,5.12%,2,1,3,1
A shopkeeper sells an article at a 10% loss. If he had sold it for 90 more he would have gained 5%. What is the cost price of the article,500,600,700,800,2,1,3,1
A trader bought a certain number of articles at 60 per article. He sold onethird of them at a 20% profit another onethird at a 10% loss and the rest at cost price. What is the overall profit or loss percentage,3.33% profit,3.33% loss,5% profit,5% loss,1,2,3,1
A man sells an article at a certain price. If he sells it at 80% of this price he loses 10%. What is the profit percentage if he sells it at the original price,10.50%,11.25%,12.50%,15%,3,2,3,1
A products selling price is reduced by 140 resulting in a loss of 25% instead of a profit of 15%. What is the cost price of the product,350,400,450,500,1,1,3,1
A manufacturer sells goods to a wholesaler at a 20% profit. The wholesaler sells them to a retailer at a 10% profit. The retailer sells them to a customer at a 15% profit. If the customer pays 3795 what was the cost for the manufacturer25002750,3,0,3,200,2,2,3,1
A man sold a chair for 540 and made a profit of 20%. To make a profit of 25% at what price should he sell it,560,580,600,625,4,1,3,1
A vendor sells 16 apples for the cost price of 20 apples. What is the profit percentage,20%,25%,30%,35%,2,1,3,1
A man sells an article at a 25% profit. If the cost price and selling price are both reduced by 200 the profit is 30%. Find the original cost price.10001200,1,400,1,600,2,2,3,1
A shopkeeper gives a 10% discount on the marked price and still makes a 20% profit. If the cost price is 900 what is the marked price10001100,1,200,1,300,3,1,3,1
A car dealer sells two cars for 500000 each. On one he makes a profit of 10% and on the other he incurs a loss of 10%. What is the total profit or loss in the transactionNo profit no loss10000 loss,10,000 profit,20,000 loss,2,2,3,1
A person buys a certain number of articles at 12 for 10 and sells them at 10 for 12. What is the profit percentage,40%,44%,45%,50%,2,1,3,1
A trader bought an article at 20% less than its original price. He sold it at a 40% profit on the price he paid. What is his percentage profit on the original price,12%,15%,18%,20%,1,2,3,1
A shopkeeper marks his goods up by 50% and then offers a discount. If his profit is 20% what is the discount percentage,20%,25%,30%,33.33%,1,1,3,1
A man sells two articles for 4800 each. On one he gains 20% and on the other he loses 20%. What is his total loss or profit,400 loss,400 profit,480 loss,480 profit,1,2,3,1
By selling an article for 720 a man loses 10%. To gain 5% at what price should he sell it,800,840,850,900,2,1,3,1
A dealer offers a discount of 20% on the marked price of a shirt and still makes a profit of 25%. If the marked price is 1000 what is the cost price,640,720,800,850,1,1,3,1
A trader mixes two varieties of rice one costing 50kg and the other 70kg in the ratio 32. He sells the mixture at 65kg. What is his profit percentage,10%,12.50%,15%,18%,2,2,3,1
If the selling price of an article is doubled the profit triples. What is the original profit percentage,50%,75%,100%,120%,3,2,3,1
A person sells two articles for 1800 each. On one he gains 20% and on the other he loses 20%. What is his total profit or loss150 loss,180 loss,120 loss,No loss,no profit,1,2,3,1
A dishonest milkman sells milk at cost price but mixes water in it. He earns a profit of 25%. What is the ratio of milk to water in the mixture,401,501,301,601,1,1,3,1
By selling an article for 800 a person loses 20%. To gain 25% what should be the selling price10001200,1,250,1,500,3,1,3,1
A trader offers two successive discounts of 10% and 20% on an item. If he sells the item for 1800 what was the marked price22002250,2,400,2,500,4,1,3,1
A retailer sells an item at a 20% profit. The customer sells it to another person at a 10% loss. What is the profit or loss for the retailer if the second person pays 2700 for the item,400 profit,450 profit,500 profit,600 profit,3,2,3,1
A person sold a book for 120 making a profit of 20%. If he sold it for 90 what would have been his profit or loss percentage,5% profit,5% loss,10% profit,10% loss,4,1,3,1
The cost price of 20 articles is the same as the selling price of x articles. If the profit is 25% what is the value of x,15,16,18,20,2,1,3,1
A shopkeeper offers a 10% discount on an item and still makes a 20% profit. If the marked price is 1100 what is the cost price,825,850,880,900,1,1,3,1
A dishonest shopkeeper sells goods at 10% profit but uses a weight of 800 grams instead of 1 kilogram. What is his total profit percentage,37.50%,38.75%,40%,42.50%,2,2,3,1
A man sells an article at a certain price. If he sells it at 75% of this price he loses 20%. What is the profit percentage if he sells it at the original price,5%,6.67%,7.50%,8%,2,2,3,1
The price of an item is marked up by 25%. It is then sold at a discount of 10%. If the profit is 100 what is the cost price of the item800900,1,0,1,100,3,2,3,1
A trader sells an item at a profit of 25%. If he had bought it at 20% less and sold it for 10.50 less he would have gained 30%. What is the cost price of the item,150,175,200,225,1,2,3,1
A shopkeeper earns a profit of 20% on selling a book at a 20% discount on the marked price. If the cost price is 150 what is the marked price,200,225,250,275,2,1,3,1
A man sells an article at a profit of 15%. If he had sold it for 60 more he would have gained 20%. What is the cost price10001200,1,400,1,500,2,1,3,1
A person buys a certain number of oranges at 5 for 1 and sells them at 4 for 1. What is the profit percentage,20%,25%,30%,35%,2,1,3,1
The cost price of two watches is 840. One is sold at a profit of 16% and the other at a loss of 12%. There is no profit or loss in the whole transaction. What is the cost price of the watch sold at a loss,360,400,480,520,3,2,3,1
A trader buys an item at a 20% discount on its marked price. He then sells it at a 10% profit on the marked price. What is his percentage profit,30%,35%,37.50%,40%,3,2,3,1
By selling an article at 80% of its selling price a person loses 10%. What is the profit or loss percentage if he sells it at its original selling price,10% profit,12.5% profit,15% profit,12.5% loss,2,2,3,1
A man sells an article at a profit of 20%. If he had bought it at 10% less and sold it for 18 more he would have gained 40%. What is the cost price,150,180,200,220,3,2,3,1
A person buys 10 articles for 8 and sells them at 8 articles for 10. What is the profit percentage,50%,56.25%,60%,62.50%,2,2,3,1
A shopkeeper sells an article for 520 incurring a loss of 15%. To make a profit of 20% what should be the selling price,700,720,750,780,2,1,3,1
A dishonest dealer sells his goods at 10% profit on cost price but uses a weight of 880 grams instead of 1 kilogram. What is his actual profit percentage,22%,23.50%,25%,26.25%,3,2,3,1
A person sells two articles for 1200 each. On one he gains 25% and on the other he loses 25%. What is the overall profit or loss percentage,5% loss,6.25% loss,5% profit,6.25% profit,2,2,3,1
A man buys a radio at a 20% discount on its marked price and sells it at a 10% profit. If the selling price is 1650 what is the marked price15001800,2,0,2,200,3,2,3,1
A shopkeeper bought 200 pens at a cost of 10 each. He sold 100 of them at a 5% profit and the remaining 100 at a 10% profit. What is his overall profit percentage,7%,7.50%,8%,8.50%,2,1,3,1
A person sells an article at a 10% loss. If he had sold it for 120 more he would have gained 10%. What is the cost price,500,600,700,800,2,1,3,1
A trader marks up his goods by 25% and then offers a discount. If his profit is 10% what is the discount percentage,10%,12%,15%,20%,2,1,3,1
A man sold a refrigerator and a television for 40000 each. On the refrigerator he gained 20% and on the television he lost 20%. What is his overall profit or loss3333.33 loss3333.33 profit,4,000 loss,4,000 profit,1,2,3,1
A vendor bought some lemons at 6 for 1 and an equal number at 8 for 1. He mixes them and sells them at 7 for 1. What is his profit or loss percentage,2.5% loss,2.5% profit,3.5% loss,3.5% profit,1,2,3,1
What is the simple interest on 5000 at 8% per annum for 3 years,1000,1200,1390,1400,2,1,1,2
What is the simple interest on 5000 at 8% per annum for 3 years,1000,1200,1400,1500,2,1,1,2
Find the amount for a principal of 8000 at 5% simple interest for 4 years,9000,9600,10000,10500,2,1,1,2
Calculate the simple interest on 12000 at 6% for 2 years.,1240,1340,1440,1540,3,1,1,2
A sum of 10000 is invested at 10% per annum simple interest. In how many years will it double,8years,9years,10years,11years,3,1,1,2
What is the principal amount if the simple interest is 450 at 5% for 3 years,2000,2500,3000,3500,3,1,1,2
Find the rate of simple interest if a sum of 6000 becomes 7200 in 4 years.,5%,6%,7%,8%,1,1,1,2
The simple interest on a certain sum for 5 years at 8% is 1600. What is the sum,3000,3500,4000,4500,4,1,1,2
What is the simple interest on 20000 at 7% per annum for 2 years,2800,3000,3200,3500,1,1,1,2
In what time will 1500 amount to 1800 at 4% simple interest per annum,4years,5years,6years,7years,2,1,1,2
What is the simple interest on 9000 at 10% for 2 years,1800,1900,2000,2100,1,1,1,2
Calculate the amount if 5000 is compounded annually at 4% for 2 years.,5400,5408,5410,5420,2,1,1,2
What is the compound interest on 1000 at 5% for 2 years,100.5,101.5,102.5,103.5,3,1,1,2
Find the compound interest on 4000 at 10% per annum for 3 years.,1200,1324,1400,1500,2,1,1,2
A sum of 3000 is invested at 6% per annum compounded annually. What is the amount after 2 years,3370.8,3370,3371.8,3372.8,1,1,1,2
What is the compound interest on 8000 at 5% for 2 years,compoundedhalfyearly,810,820,825,830,1,1,2
Find the difference between simple and compound interest on 2000 at 5% for 2 years.,5,10,15,20,1,1,1,2
If a sum of money at compound interest doubles in 5 years,inhowmanyyearswillitbecome8times,10years,15years,20years,25 years,2,1,2
What is the amount for a principal of 15000 at 8% compounded annually for 2 years,17496,17500,17600,17700,1,1,1,2
Calculate the compound interest on 6000 at 10% per annum for 2 years,compoundedhalfyearly.,1260,1280,1290,1300,4,1,2
A sum of 2500 is invested at 4% compound interest. What is the amount after 3 years,2810,2812,2812.16,2812.5,3,1,1,2
The simple interest on a sum of money is 600 for 2 years at 10%. What is the compound interest on the same sum for the same period and rate,600,630,660,700,2,2,1,2
Find the amount on a principal of 10000 at 10% per annum,compoundedannuallyfor3years.,13310,13410,13510,13610,1,1,2
What is the difference between simple and compound interest on 5000 at 4% for 2 years,8,10,12,15,1,1,1,2
In how many years will 1000 become 1331 at 10% compound interest,2years,3years,4years,5years,2,1,1,2
Calculate the compound interest on 5000 at 6% for 2 years.,618,620,622,625,1,1,1,2
What is the principal amount if the compound interest is 210 at 10% for 2 years,1000,1200,1500,2000,1,1,1,2
Find the amount if 7000 is compounded annually at 5% for 3 years.,8100.38,8110.38,8120.38,8130.38,1,1,1,2
A sum of money becomes 4 times in 2 years at compound interest. At what rate is the interest compounded,50%,75%,100%,150%,3,2,1,2
What is the simple interest on 4500 at 6% for 3 years,810,820,830,840,1,1,1,2
In what time will a sum of money triple itself at 10% simple interest,10years,15years,20years,25years,3,1,1,2
Find the rate of simple interest if 2000 becomes 2400 in 5 years.,4%,5%,6%,7%,1,1,1,2
What is the simple interest on 1200 at 5% for 4 years,240,250,260,270,1,1,1,2
A principal of 500 is compounded annually at 10% for 3 years. What is the compound interest,165.5,166.5,167.5,168.5,1,1,1,2
What is the simple interest on 2500 at 8% for 2 years,400,450,500,550,1,1,1,2
Find the amount if 3500 is compounded annually at 8% for 2 years.,4082.4,4083.4,4084.4,4085.4,1,1,1,2
In what time will 800 amount to 1000 at 5% simple interest per annum,4years,5years,6years,7years,2,1,1,2
Calculate the simple interest on 6500 at 4% for 3 years.,780,790,800,810,1,1,1,2
What is the compound interest on 1000 at 10% for 2 years,compoundedhalfyearly,215.5,216.5,217.5,218.5,1,1,2
Find the difference between simple and compound interest on 10000 at 6% for 2 years.,30,32,34,36,4,1,1,2
A sum of money at compound interest becomes 2420 in 2 years at 10%. What is the principal,1800,1900,2000,2100,3,1,1,2
What is the simple interest on 7500 at 6% for 2 years,900,950,1000,1050,1,1,1,2
In how many years will a sum of money become 4 times at 20% simple interest,10years,15years,20years,25years,2,1,1,2
Find the rate of compound interest if 5000 becomes 5512.50 in 2 years.,4%,5%,6%,7%,2,2,1,2
The simple interest on a certain sum for 3 years at 5% is 300. What is the sum,1800,2000,2200,2500,2,1,1,2
Calculate the amount if 12000 is compounded annually at 5% for 3 years.,13891.5,13892.5,13893.5,13894.5,1,1,1,2
What is the compound interest on 9000 at 8% for 2 years,1497.6,1498.6,1499.6,1500.6,1,1,1,2
A sum of money becomes 8 times in 3 years at compound interest. At what rate is the interest compounded,100%,150%,200%,250%,1,2,1,2
What is the simple interest on 1800 at 4% for 5 years,360,370,380,390,1,1,1,2
In what time will 400 amount to 440 at 5% simple interest per annum,1year,2years,3years,4years,2,1,1,2
A sum of money invested at simple interest triples itself in 8 years. In how many years will it become six times itself,10 years,12 years,14 years,15 years,2,2,2,2
The difference between the simple interest and compound interest on a sum of 15000 for 2 years is 96. What is the rate of interest per annum,8%,9%,10%,12%,4,2,2,2
A man borrows 18000 at 10% compound interest. He repays 6000 at the end of the first year and 7000 at the end of the second year. How much should he pay at the end of the third year to clear the loan98009820,9,850,9,878,4,2,2,2
A sum of money lent at simple interest becomes 10200 in 2 years and 12750 in 5 years. What is the rate of interest per annum,10%,12.50%,15%,17.50%,3,2,2,2
What is the compound interest on 25000 for 1.5 years at 16% per annum compounded halfyearly64006500,6,624,6,750,3,2,2,2
A certain sum of money amounts to 2420 in 2 years and 2662 in 3 years at compound interest. What is the rate of interest,8%,9%,10%,11%,3,2,2,2
At what rate of simple interest will a sum of money become 74 of itself in 4 years,15%,16.50%,18.75%,20%,3,1,2,2
Find the compound interest on 16000 for 9 months at 20% per annum compounded quarterly.24002522,2,580,2,600,2,2,2,2
The simple interest on a certain sum for 2 years is 1200 and the compound interest is 1260. What is the principal amount1000012000,15,0,18,0,2,2,2,2
A person invested a certain amount at 12% simple interest. In 5 years the amount received was 12800. What was the principal amount80009000,10,0,10,500,1,1,2,2
