question,option1,option2,option3,option4,correct_answer,mark_weightage,level,subtopic_id
The simple interest on a sum of money is 19 of the principal and the number of years is equal to the rate percent per annum. What is the rate,3%,3.33%,4%,4.50%,2,1,2,2
A sum of money becomes 1460 in 3 years and 1606 in 4 years at compound interest. What is the principal10001100,1,200,1,300,3,2,2,2
If the difference between CI and SI on a certain sum for 3 years at 10% is 620 what is the sum1800020000,22,0,25,0,2,2,2,2
What is the simple interest on 14000 for 1 year and 3 months at 10% per annum16501750,1,800,1,850,2,1,2,2
A sum of money amounts to 6690 after 3 years and to 10035 after 6 years on compound interest. Find the principal.44604500,4,650,4,800,1,2,2,2
What is the compound interest on 32000 for 1 year at 20% per annum compounded halfyearly65006520,6,528,6,550,3,2,2,2
A certain sum of money at compound interest becomes 8820 in 2 years and 9261 in 3 years. What is the principal amount78008000,8,200,8,400,2,2,2,2
A sum of money doubles itself at a certain rate of simple interest in 10 years. In how many years will it triple itself at the same rate,15 years,20 years,25 years,30 years,2,1,2,2
The difference between the compound interest and simple interest on a certain sum at 10% per annum for 3 years is 155. Find the sum.50005500,6,0,6,200,1,2,2,2
At what rate percent per annum simple interest will a sum of money double itself in 12 years,8.33%,8.50%,8.66%,9%,1,1,2,2
The compound interest on a sum of money for 2 years is 832 and the simple interest on the same sum for the same period is 800. What is the rate of interest per annum,5%,6%,7%,8%,4,2,2,2
A sum of money invested at simple interest amounts to 1500 in 3 years and 1750 in 5 years. What is the principal amount10001100,1,125,1,200,3,2,2,2
What is the compound interest on 50000 for 2 years at 10% per annum compounded annually1050011000,11,250,11,500,1,1,2,2
The simple interest on a certain sum for 4 years at 9% is 1800. What will be the compound interest on the same sum at the same rate for 2 years,900,950,981,995,3,2,2,2
If a certain sum of money at compound interest becomes 48400 in 2 years and 53240 in 3 years what is the rate of interest,8%,9%,10%,11%,3,2,2,2
A man borrows 100000 at 10% compound interest. At the end of each year he pays 20000. How much does he still owe after 2 years8600088000,89,0,92,0,2,2,2,2
The compound interest on 8000 at 10% per annum for 1 year compounded halfyearly is,820,825,830,850,1,1,2,2
A sum of money amounts to 7800 in 2 years and 11700 in 4 years at compound interest. Find the principal.48005000,5,200,5,400,3,2,2,2
If a principal amounts to 1100 in 2 years at simple interest and the rate of interest is 5% per annum what is the principal9501000,1,50,1,100,2,1,2,2
The difference between the simple and compound interest on 4000 for 2 years is 10. What is the rate of interest,5%,6%,7%,8%,1,2,2,2
A sum of money doubles itself in 5 years at compound interest. In how many years will it become 16 times itself,15 years,20 years,25 years,30 years,2,2,2,2
What is the simple interest on a sum of money which amounts to 7700 in 3 years and 8750 in 5 years at simple interest65006600,6,650,6,700,3,2,2,2
A sum of money at compound interest becomes 2400 in 2 years and 2520 in 3 years. What is the rate of interest,5%,6%,7%,8%,1,1,2,2
The simple interest on a sum for 3 years at 6% is 90. What will be the compound interest on the same sum at the same rate for 2 years,61.8,62.5,63.6,64.5,3,2,2,2
If a certain sum becomes 6000 in 2 years at 10% simple interest what is the principal40004500,5,0,5,500,3,1,2,2
What is the amount on 10000 for 1 year and 6 months at 10% per annum compounded halfyearly11576.2511577.25,11,578.25,11,579.25,1,2,2,2
The simple interest on a certain sum is 1625 of the sum. If the number of years is equal to the rate of interest what is the rate,5%,6%,7%,8%,4,2,2,2
A sum of money at simple interest becomes 8150 in 3 years and 8540 in 4 years. What is the sum69006950,7,0,7,50,4,2,2,2
What is the difference between simple and compound interest on 15000 for 3 years at 4% per annum,72.96,73.96,74.96,75.96,2,2,2,2
A person invests 20000 for 2 years at compound interest. If the interest is compounded annually at 10% what is the interest earned40004100,4,200,4,500,2,1,2,2
A sum of money amounts to 1331 in 3 years at 10% per annum compound interest. What is the principal9001000,1,100,1,200,2,1,2,2
At what rate of simple interest will a sum of money become 5 times itself in 20 years,15%,20%,25%,30%,2,1,2,2
The simple interest on a certain sum for 2 years is 2000 and the compound interest is 2200. Find the principal.10002000,3,0,4,0,3,2,2,2
A sum of 12000 is invested at 5% simple interest for 2 years. What is the total interest earned12001300,1,400,1,500,1,1,2,2
The compound interest on 5000 for 3 years at 10% per annum is15001550,1,655,1,755,3,1,2,2
A sum of money amounts to 6000 in 2 years at 10% compound interest. What is the principal48004958.67,5,0,5,200,2,2,2,2
What is the simple interest on 25000 for 2 years at 12% per annum50005500,6,0,6,500,3,1,2,2
A certain sum of money at compound interest becomes 8000 in 2 years and 8800 in 3 years. What is the sum65006611.57,6,700,6,800,2,2,2,2
The difference between the simple interest and compound interest on a sum of 10000 for 2 years is 25. What is the rate of interest per annum,4%,5%,6%,7%,2,2,2,2
In what time will 2000 become 2420 at 10% per annum compound interest,1 year,2 years,3 years,4 years,2,1,2,2
A sum of money invested at simple interest triples itself in 8 years. In how many years will it become six times itself,10 years,12 years,14 years,15 years,2,2,3,2
The difference between the simple interest and compound interest on a sum of 15000 for 2 years is 96. What is the rate of interest per annum,8%,9%,10%,12%,4,2,3,2
A man borrows 18000 at 10% compound interest. He repays 6000 at the end of the first year and 7000 at the end of the second year. How much should he pay at the end of the third year to clear the loan98009820,9,850,9,878,4,2,3,2
A sum of money lent at simple interest becomes 10200 in 2 years and 12750 in 5 years. What is the rate of interest per annum,10%,12.50%,15%,17.50%,3,2,3,2
What is the compound interest on 25000 for 1.5 years at 16% per annum compounded halfyearly64006500,6,624,6,750,3,2,3,2
A certain sum of money amounts to 2420 in 2 years and 2662 in 3 years at compound interest. What is the rate of interest,8%,9%,10%,11%,3,2,3,2
At what rate of simple interest will a sum of money become 74 of itself in 4 years,15%,16.50%,18.75%,20%,3,1,3,2
Find the compound interest on 16000 for 9 months at 20% per annum compounded quarterly.24002522,2,580,2,600,2,2,3,2
The simple interest on a certain sum for 2 years is 1200 and the compound interest is 1260. What is the principal amount1000012000,15,0,18,0,2,2,3,2
A person invested a certain amount at 12% simple interest. In 5 years the amount received was 12800. What was the principal amount80009000,10,0,10,500,1,1,3,2
The simple interest on a sum of money is 19 of the principal and the number of years is equal to the rate percent per annum. What is the rate,3%,3.33%,4%,4.50%,2,1,3,2
A sum of money becomes 1460 in 3 years and 1606 in 4 years at compound interest. What is the principal10001100,1,200,1,300,3,2,3,2
If the difference between CI and SI on a certain sum for 3 years at 10% is 620 what is the sum1800020000,22,0,25,0,2,2,3,2
What is the simple interest on 14000 for 1 year and 3 months at 10% per annum16501750,1,800,1,850,2,1,3,2
A sum of money amounts to 6690 after 3 years and to 10035 after 6 years on compound interest. Find the principal.44604500,4,650,4,800,1,2,3,2
What is the compound interest on 32000 for 1 year at 20% per annum compounded halfyearly65006520,6,528,6,550,3,2,3,2
A certain sum of money at compound interest becomes 8820 in 2 years and 9261 in 3 years. What is the principal amount78008000,8,200,8,400,2,2,3,2
A sum of money doubles itself at a certain rate of simple interest in 10 years. In how many years will it triple itself at the same rate,15 years,20 years,25 years,30 years,2,1,3,2
The difference between the compound interest and simple interest on a certain sum at 10% per annum for 3 years is 155. Find the sum.50005500,6,0,6,200,1,2,3,2
At what rate percent per annum simple interest will a sum of money double itself in 12 years,8.33%,8.50%,8.66%,9%,1,1,3,2
The compound interest on a sum of money for 2 years is 832 and the simple interest on the same sum for the same period is 800. What is the rate of interest per annum,5%,6%,7%,8%,4,2,3,2
A sum of money invested at simple interest amounts to 1500 in 3 years and 1750 in 5 years. What is the principal amount10001100,1,125,1,200,3,2,3,2
What is the compound interest on 50000 for 2 years at 10% per annum compounded annually1050011000,11,250,11,500,1,1,3,2
The simple interest on a certain sum for 4 years at 9% is 1800. What will be the compound interest on the same sum at the same rate for 2 years,900,950,981,995,3,2,3,2
If a certain sum of money at compound interest becomes 48400 in 2 years and 53240 in 3 years what is the rate of interest,8%,9%,10%,11%,3,2,3,2
A man borrows 100000 at 10% compound interest. At the end of each year he pays 20000. How much does he still owe after 2 years8600088000,89,0,92,0,2,2,3,2
The compound interest on 8000 at 10% per annum for 1 year compounded halfyearly is,820,825,830,850,1,1,3,2
A sum of money amounts to 7800 in 2 years and 11700 in 4 years at compound interest. Find the principal.48005000,5,200,5,400,3,2,3,2
If a principal amounts to 1100 in 2 years at simple interest and the rate of interest is 5% per annum what is the principal9501000,1,50,1,100,2,1,3,2
The difference between the simple and compound interest on 4000 for 2 years is 10. What is the rate of interest,5%,6%,7%,8%,1,2,3,2
A sum of money doubles itself in 5 years at compound interest. In how many years will it become 16 times itself,15 years,20 years,25 years,30 years,2,2,3,2
What is the simple interest on a sum of money which amounts to 7700 in 3 years and 8750 in 5 years at simple interest65006600,6,650,6,700,3,2,3,2
A sum of money at compound interest becomes 2400 in 2 years and 2520 in 3 years. What is the rate of interest,5%,6%,7%,8%,1,1,3,2
The simple interest on a sum for 3 years at 6% is 90. What will be the compound interest on the same sum at the same rate for 2 years,61.8,62.5,63.6,64.5,3,2,3,2
If a certain sum becomes 6000 in 2 years at 10% simple interest what is the principal40004500,5,0,5,500,3,1,3,2
What is the amount on 10000 for 1 year and 6 months at 10% per annum compounded halfyearly11576.2511577.25,11,578.25,11,579.25,1,2,3,2
The simple interest on a certain sum is 1625 of the sum. If the number of years is equal to the rate of interest what is the rate,5%,6%,7%,8%,4,2,3,2
A sum of money at simple interest becomes 8150 in 3 years and 8540 in 4 years. What is the sum69006950,7,0,7,50,4,2,3,2
What is the difference between simple and compound interest on 15000 for 3 years at 4% per annum,72.96,73.96,74.96,75.96,2,2,3,2
A person invests 20000 for 2 years at compound interest. If the interest is compounded annually at 10% what is the interest earned40004100,4,200,4,500,2,1,3,2
A sum of money amounts to 1331 in 3 years at 10% per annum compound interest. What is the principal9001000,1,100,1,200,2,1,3,2
At what rate of simple interest will a sum of money become 5 times itself in 20 years,15%,20%,25%,30%,2,1,3,2
The simple interest on a certain sum for 2 years is 2000 and the compound interest is 2200. Find the principal.10002000,3,0,4,0,3,2,3,2
A sum of 12000 is invested at 5% simple interest for 2 years. What is the total interest earned12001300,1,400,1,500,1,1,3,2
The compound interest on 5000 for 3 years at 10% per annum is15001550,1,655,1,755,3,1,3,2
A sum of money amounts to 6000 in 2 years at 10% compound interest. What is the principal48004958.67,5,0,5,200,2,2,3,2
What is the simple interest on 25000 for 2 years at 12% per annum50005500,6,0,6,500,3,1,3,2
A certain sum of money at compound interest becomes 8000 in 2 years and 8800 in 3 years. What is the sum65006611.57,6,700,6,800,2,2,3,2
The difference between the simple interest and compound interest on a sum of 10000 for 2 years is 25. What is the rate of interest per annum,4%,5%,6%,7%,2,2,3,2
In what time will 2000 become 2420 at 10% per annum compound interest,1 year,2 years,3 years,4 years,2,1,3,2
What comes next in the series 2 4 6 8,10,12,14,16,1,1,1,3
What is the next number in the series 5 10 15 20,25,30,35,40,1,1,1,3
Find the next term 1 3 5 7,9,10,11,13,1,1,1,3
Complete the series 10 20 30 40,50,60,70,80,1,1,1,3
Find the missing number 2 5 8 11,13,14,15,16,2,1,1,3
What comes next in the sequence 1 2 4 8,10,12,14,16,4,1,1,3
Find the next term 3 6 9 12,14,15,16,18,2,1,1,3
Complete the series 1 4 9 16,20,22,24,25,4,1,1,3
What is the next number 1 1 2 3 5,6,7,8,9,3,1,1,3
Find the missing number 4 8 12 16,18,20,22,24,2,1,1,3
Complete the series 100 90 80 70,60,55,50,45,1,1,1,3
What comes next 2 4 8 16,32,36,40,48,1,1,1,3
Find the next term 7 14 21 28,30,32,35,38,3,1,1,3
Complete the series 1 8 27 64,81,90,100,125,4,2,1,3
What is the next number 1 2 3 5 8,11,12,13,14,3,1,1,3
Find the missing number 15 12 9 6,3,4,5,2,1,1,1,3
Complete the series 2 3 5 7 11,12,13,15,17,2,2,1,3
What comes next 25 36 49 64,81,90,100,121,1,1,1,3
Find the next term 10 8 6 4,2,1,0,2,1,1,1,3
Complete the series 3 5 7 9,11,12,13,14,1,1,1,3
What is the next number 5 8 11 14,16,17,18,19,4,1,1,3
Find the missing number 1 3 6 10,13,15,18,20,2,1,1,3
Complete the series 10 12 14 16,18,20,22,24,1,1,1,3
What comes next 2 6 10 14,16,18,20,22,2,1,1,3
Find the next term 10 9 8 7,5,6,4,3,2,1,1,3
Complete the series 2 4 7 11,15,16,17,18,2,1,1,3
What is the next number 1 4 7 10,12,13,14,15,2,1,1,3
Find the missing number 20 18 16 14,12,10,8,6,1,1,1,3
Complete the series 3 4 6 9,11,12,13,14,3,1,1,3
What comes next 100 95 90 85,80,75,70,65,1,1,1,3
Find the next term 1 5 9 13,15,16,17,18,3,1,1,3
Complete the series 50 45 40 35,30,25,20,15,1,1,1,3
What is the next number 2 5 9 14,18,19,20,21,4,1,1,3
Find the missing number 1 2 4 7,10,11,12,13,2,1,1,3
Complete the series 12 15 18 21,23,24,25,26,2,1,1,3
What comes next 5 7 9 11,12,13,14,15,2,1,1,3
Find the next term 1 2 6 24,48,72,120,144,3,2,1,3
Complete the series 1 10 100 1000,10000,10100,10200,10300,1,1,1,3
What is the next number 1 2 4 5 7 8,9,10,11,12,2,1,1,3
Find the missing number 13 11 9 7,5,4,3,2,1,1,1,3
Complete the series 11 13 15 17,18,19,20,21,2,1,1,3
What comes next 1 2 3 4,5,6,7,8,1,1,1,3
Find the next term 1 3 9 27,54,64,81,100,3,1,1,3
Complete the series 5 10 12 24 26,30,52,54,56,4,2,1,3
What is the next number 1 2 2 4 8,16,20,24,32,4,2,1,3
Find the missing number 1 4 2 5 3 6,4,5,6,7,1,1,1,3
Complete the series 10 15 20 25,30,35,40,45,1,1,1,3
What comes next 2 3 4 5 6,7,8,9,10,1,1,1,3
Find the next term 2 4 5 10 11,12,13,22,23,3,2,1,3
Complete the series 1 2 4 8,16,18,20,22,1,1,1,3
What is the next term in the series 3 7 13 21,28,31,33,35,2,2,2,3
Find the missing number in the series 5 6 9 14 21,30,32,34,36,1,2,2,3
Complete the sequence 1 4 10 22,40,42,44,46,2,2,2,3
What comes next in the series 2 3 7 16 32,48,50,54,57,4,2,2,3
Find the next term 1 3 9 27,64,70,75,81,1,2,2,3
Complete the series 10 15 13 18 16,19,20,21,22,1,2,2,3
What is the next number in the series 2 8 18 32 50,60,62,64,68,3,2,2,3
Find the missing number 7 10 16 28,50,52,54,56,2,2,2,3
Complete the sequence 5 8 14 26 50,90,96,98,100,3,2,2,3
What comes next 1 2 6 24 120,240,360,600,720,4,2,2,3
Find the next term 1 2 5 12 27,40,44,46,48,3,2,2,3
Complete the series 3 5 9 17 33,63,64,65,67,3,2,2,3
What is the next number 1 3 7 15 31,61,62,63,64,2,2,2,3
Find the missing number 2 12 36 80,120,128,132,140,2,2,2,3
Complete the sequence 2 5 10 17 26,33,34,35,36,3,2,2,3
What comes next in the series 6 11 21 36 56,72,74,76,78,4,2,2,3
Find the next term 1 2 3 6 12 24,36,38,40,42,3,2,2,3
Complete the series 1 5 13 29 61,119,120,121,122,2,2,2,3
What is the next number 3 8 18 38 78,154,156,158,160,2,2,2,3
Find the missing number 4 10 22 46,88,89,90,92,3,2,2,3
Complete the sequence 2 4 12 48 240,720,960,1000,1200,3,2,2,3
What comes next 10 100 200 310,350,360,370,400,4,2,2,3
Find the next term 5 12 26 54,106,108,110,112,2,2,2,3
Complete the series 1 1 2 6 24,100,110,120,130,3,2,2,3
What is the next number 10 11 13 16 20,22,23,24,25,3,2,2,3
Find the missing number 5 9 17 33,63,64,65,66,2,2,2,3
Complete the sequence 2 3 8 27 112,224,336,448,512,3,2,2,3
What comes next in the series 1 4 27 256,1024,2048,3125,4096,3,2,2,3
Find the next term 3 7 15 31 63,125,126,127,128,2,2,2,3
Complete the series 4 9 16 25 36,44,45,46,49,4,2,2,3
What is the next number 1 2 3 5 8 13,18,20,21,22,2,2,2,3
Find the missing number 1 2 6 15 31,45,46,47,50,4,2,2,3
Complete the sequence 100 50 25 12.5,6.25,6.5,7,7.5,1,2,2,3
What comes next 2 6 12 20 30,36,38,39,40,1,2,2,3
Find the next term 1 3 4 7 11 18,23,24,25,26,3,2,2,3
Complete the series 5 7 11 13 17,18,19,20,21,2,2,2,3
What is the next number 1 4 9 16 25,34,35,36,37,3,2,2,3
Find the missing number 2 4 8 16 32,58,59,60,61,3,2,2,3
Complete the sequence 3 9 21 45,75,76,78,80,4,2,2,3
What comes next in the series 1 2 4 7 11,13,14,15,16,3,2,2,3
Find the next term 1 8 27 64 125,200,210,216,225,3,2,2,3
Complete the series 5 10 12 24 26,48,49,50,52,3,2,2,3
What is the next number 10 11 14 19 26,31,32,33,34,3,2,2,3
Find the missing number 7 8 12 21 37,59,60,61,62,2,2,2,3
Complete the sequence 4 10 20 34 52,64,66,68,70,3,2,2,3
What comes next 1 3 6 10 15,18,19,20,21,3,2,2,3
Find the next term 1 4 11 26 57,100,110,120,121,3,2,2,3
Complete the series 20 19 17 14 10,6,7,8,9,1,2,2,3
What is the next number 1 2 5 10 17,23,24,25,26,3,2,2,3
Find the missing number 1 2 3 5 8 13,19,20,21,22,3,2,2,3
What is the next number in the series 2 3 8 31 154 924925926927,154,155,156,157,156,2,3,3
Find the missing number 3 4 10 33 136 680685690695,272,273,274,275,273,2,3,3
Complete the series 4 9 29 119 599 3599360036013602,1199,1200,1201,1202,1200,3,3,3
What comes next 5 6 14 45 184 920925926930,365,366,367,368,366,2,3,3
Find the next term 6 10 18 34 66 130131132134,126,127,128,129,127,1,3,3
Complete the series 10 11 23 70 281 1400140514061410,562,563,564,565,564,2,3,3
What is the next number 1 2 6 30 210 2200231024002500,720,721,722,723,720,2,3,3
Find the missing number 2 3 7 25 121 720721722723,365,366,367,368,366,2,3,3
Complete the series 15 30 90 360 1800 10000108001100011500,5400,5401,5402,5403,5400,2,3,3
What comes next 4 10 33 136 685 4110411241164120,2740,2741,2742,2743,2742,3,3,3
Find the next term 1 3 7 13 21 31 40414345,37,38,39,40,39,3,3,3
Complete the series 8 12 24 60 180 540600630720,360,361,362,363,360,2,3,3
What is the next number 5 8 16 29 47 68707274,60,61,62,63,62,1,3,3
Find the missing number 2 5 11 23 47 90959697,83,84,85,86,83,4,3,3
Complete the series 10 100 200 310 430 550560570580,520,521,522,523,520,4,3,3
What comes next 1 2 6 21 88 440442445448,265,266,267,268,267,3,3,3
Find the next term 7 8 18 57 232 1160116511701175,465,466,467,468,466,2,3,3
Complete the series 3 5 9 17 33 65676971,49,50,51,52,65,1,3,3
What is the next number 1 3 7 15 31 62636465,61,62,63,64,63,2,3,3
Find the missing number 2 7 22 67 202 600605607610,607,608,609,610,607,3,3,3
Complete the series 5 12 26 54 110 220222224226,165,166,167,168,166,2,3,3
What comes next 1 1 2 6 24 120 700720740760,504,505,506,507,504,2,3,3
Find the next term 100 99 95 86 70 45464748,55,56,57,58,55,4,3,3
Complete the series 4 1 1 4 25 216225256260,124,125,126,127,125,3,3,3
What is the next number 1 2 4 8 16 32 64666870,63,64,65,66,64,1,3,3
Find the missing number 8 16 48 192 960 5600576058005900,2880,2881,2882,2883,2880,2,3,3
Complete the series 1 2 6 15 31 56 80859195,72,73,74,75,72,3,3,3
What comes next 1 3 4 7 11 18 28293031,28,29,30,31,29,2,3,3
Find the next term 2 3 8 27 112 565570575580,330,331,332,333,332,1,3,3
Complete the series 10 11 14 19 26 35 44454647,42,43,44,45,43,3,3,3
What is the next number 5 9 17 33 65 128129130131,127,128,129,130,127,2,3,3
Find the missing number 7 8 12 21 37 62 909598100,99,100,101,102,99,2,3,3
Complete the series 4 10 20 34 52 74 9698100102,94,95,96,97,94,4,3,3
What comes next 1 4 11 26 57 120 240245247250,201,202,203,204,203,3,3,3
Find the next term 20 19 17 14 10 5 0112,1,2,3,4,0,1,3,3
Complete the series 1 2 5 10 17 26 35363738,33,34,35,36,34,3,3,3
What is the next number 1 2 3 5 8 13 21 32343638,31,32,33,34,34,2,3,3
Find the missing number 1 4 9 16 25 36384042,35,36,37,38,36,1,3,3
Complete the series 3 9 21 45 93 189190191192,186,187,188,189,187,1,3,3
What comes next 1 2 4 7 11 16 20212223,18,19,20,21,19,3,3,3
Find the next term 1 8 27 64 125 200216225250,215,216,217,218,216,2,3,3
Complete the series 5 10 12 24 26 52 54565860,52,53,54,55,54,1,3,3
What is the next number 10 11 14 19 26 35 44454647,42,43,44,45,43,3,3,3
Find the missing number 7 8 12 21 37 62 98 130145150155,127,128,129,130,128,2,3,3
Complete the series 4 10 20 34 52 74 9698100102,94,95,96,97,94,4,3,3
What comes next 1 3 6 10 15 21 28293031,26,27,28,29,27,1,3,3
Find the next term 1 4 11 26 57 120 247 480490500502,423,424,425,426,425,3,3,3
Complete the series 20 19 17 14 10 5 0 1234,1,0,1,2,1,3,3,3
What is the next number 1 2 5 10 17 26 37 48505254,46,47,48,49,47,4,3,3
Find the missing number 1 2 3 5 8 13 21 34 55565758,53,54,55,56,55,1,3,3
Pointing to a man a woman said He is the son of my fathers mother. How is the man related to the woman,Brother,Uncle,Father,Grandfather,2,1,1,4
A is Bs sister. C is Bs father. D is Cs mother. How is A related to D,Daughter,Granddaughter,Mother,Sister,2,1,1,4
If P Q means P is the father of Q and P Q means P is the mother of Q then how is M related to R in M N R,Son,Grandfather,Father,Grandmother,2,1,1,4
X is the husband of Y. Z is the daughter of Y. How is X related to Z,Brother,Uncle,Father,Son,3,1,1,4
Introducing a boy a girl said He is the only son of the mother of my father. How is the boy related to the girl,Brother,Uncle,Cousin,Father,4,1,1,4
R is the brother of S. T is the wife of R. How is S related to T,BrotherinlawSisterinlaw,Son,Father,Aunt,1,1,1,4
If P is the brother of Q R is the father of Q how is R related to P,Uncle,Father,Grandfather,Brother,2,1,1,4
M is the daughter of P. P is the sister of Q. Q is the son of R. How is M related to R,Daughter,Mother,Granddaughter,Sister,3,1,1,4
Pointing to a photo A said She is the sister of the son of my wife. How is A related to the person in the photo,Father,Brother,Uncle,Son,1,1,1,4
J and K are brothers. L is the sister of J. M is the mother of L. How is M related to K,Aunt,Mother,Sister,Daughter,2,1,1,4
If A B means A is the son of B and A B means A is the wife of B how is D related to F in DEF,Son,Mother,Father,Daughter,4,1,1,4
S is the son of T. T is the mother of U. How is S related to U,Brother,Father,Sister,Cousin,1,1,1,4
A man introduces a woman as his mothers only daughters daughter. How is the woman related to the man,Sister,Mother,Niece,Aunt,3,1,1,4
E is the father of F. G is the daughter of F. How is E related to G,Father,Grandfather,Uncle,Brother,2,1,1,4
If my fathers sister is your mother who am I to you,Sister,Cousin,Niece,Aunt,2,1,1,4
V is the husband of W. X is the sister of V. How is X related to W,Sister,Sisterinlaw,Mother,Aunt,2,1,1,4
K is the only son of L. M is the wife of K. How is L related to M,FatherinlawMotherinlaw,Brotherinlaw,Uncle,Mother,1,1,1,4
If A B means A is the daughter of B and A B means A is the brother of B how is P related to R in P Q R,Son,Sister,Niece,Cousin,3,1,1,4
Pointing to a girl B said She is the wife of the grandson of my mother. How is the girl related to B,Daughter,Sisterinlaw,Wife,Daughterinlaw,4,1,1,4
C is the father of D. D is the mother of E. F is the brother of E. How is C related to F,Grandfather,Father,Uncle,Brother,1,1,1,4
If P is the mother of Q Q is the father of R. How is P related to R,Mother,Grandmother,Aunt,Daughter,2,1,1,4
The son of my fathers sister is my,Brother,Cousin,Uncle,Nephew,2,1,1,4
G is the wife of H. I is the son of G. J is the sister of I. How is H related to J,Father,Uncle,Brother,Son,1,1,1,4
Introducing a woman a man said Her father is my fathers only son. How is the woman related to the man,Sister,Daughter,Mother,Niece,2,1,1,4
If Husband is called Father Father is called Son Son is called Daughter what will a woman call her spouse,Father,Son,Daughter,Husband,1,1,1,4
A man walks 10 km North then turns East and walks 10 km. Which direction is he from his starting point,North,East,NorthEast,SouthEast,3,1,1,4
From a point Rahul walks 5 km South then turns left and walks 3 km. Which direction is he facing now,North,South,East,West,3,1,1,4
A person is facing West. He turns 90 anticlockwise. Which direction is he facing now,North,South,East,South,2,1,1,4
If NorthEast becomes South what will North become,SouthWest,West,SouthEast,East,3,1,1,4
A walks 4 km East then turns right and walks 3 km. How far is A from the starting point,7 km,1 km,5 km,4 km,3,1,1,4
A clock shows 9 oclock. If the minute hand points to East in which direction does the hour hand point,West,North,South,East,4,1,1,4
A boy walks 2 km towards South then turns right and walks 5 km. Finally he turns left and walks 3 km. In which direction is he walking now,North,South,East,West,2,1,1,4
Ram is facing North. He turns 180 clockwise. What direction is he facing,North,South,East,West,2,1,1,4
If South is called West what will North be called,East,North,West,South,1,1,1,4
From his house John walks 8 km West then 6 km North. What is the straight line distance from his house,14 km,2 km,10 km,8 km,3,1,1,4
A cyclist travels 5 km South turns right and travels 5 km then turns right and travels 5 km. Where is he from his start,5 km West,5 km East,5 km North,15 km South,1,1,1,4
A person is facing NorthWest. He turns 135 clockwise. Which direction is he facing,North,South,East,West,3,1,1,4
If East is called North and SouthEast is called NorthEast what is South called,West,East,NorthWest,North,2,1,1,4
A car moves 6 km North turns left and moves 8 km. It then turns right and moves 6 km. In which direction is it moving finally,North,South,East,West,1,1,1,4
Starting from P a person walks 5 km South then turns right and walks 2 km. He then turns right and walks 5 km. How far is he from P,12 km,2 km,5 km,10 km,2,1,1,4
If West is called South North is called East then what will East be called,North,South,West,NorthWest,3,1,1,4
A girl walks 5 steps forward 3 steps right 2 steps backward and 3 steps left. Which direction is she facing if she started facing North,North,South,East,West,1,1,1,4
A runner covers 12 km East then 5 km South. What is the shortest distance from the start,17 km,7 km,13 km,12 km,3,1,1,4
If the time is 6 PM and the hour hand is pointing West where is the minute hand pointing,East,West,North,South,1,1,1,4
M walks 10 meters East turns left and walks 10 meters. He then turns right and walks 5 meters. Where is he from the start,NorthEast,SouthEast,East,North,1,1,1,4
A boat is sailing SouthWest. It turns 270 clockwise. In which direction is it sailing now,NorthWest,NorthEast,SouthEast,SouthWest,2,1,1,4
If NorthEast is shifted to East where will SouthWest be shifted,West,South,NorthWest,SouthEast,4,1,1,4
A man walks 7 km East then turns 90 to his right and walks 5 km. He is now facing,North,South,East,West,2,1,1,4
Z starts at point A walks 2 km North turns right and walks 3 km. He turns left and walks 2 km. How far is Z from the starting point A,7 km,4 km,5 km,1 km,3,1,1,4
Pointing to a man a woman said He is the father of my daughters only brother. How is the man related to the woman,Father,Husband,Brother,Uncle,2,1,2,4
If A is the sister of B B is the brother of C and C is the son of D how is A related to D,Son,Daughter,Mother,Father,2,1,2,4
Ritu said to Mani The girl I met yesterday at the beach was the youngest daughter of the brotherinlaw of my friends mother. How is the girl related to Ritus friend,Niece,Cousin,Sister,Aunt,2,2,2,4
P is the mother of K. K is the sister of D. D is the father of J. How is P related to J,Mother,Grandmother,Aunt,Sister,2,1,2,4
Introducing a boy a girl said He is the son of the only daughter of my father. How is the boy related to the girl,Brother,Nephew,Son,Father,3,1,2,4
If X is the brother of the son of Ys son how is X related to Y,Brother,Grandson,Son,Father,2,2,2,4
M is the son of P. Q is the daughter of O. N is the grandmother of M. P is the father of N. O is the wife of P. How is Q related to M,Sister,Brother,Cousin,Mother,1,1,2,4
Pointing to a photograph a woman said This mans sons sister is my motherinlaw. How is the womans husband related to the man in the photograph,Son,Grandson,Nephew,Soninlaw,2,2,2,4
A is the husband of B. C is the brother of B. D is the mother of C. How is D related to A,Mother,Motherinlaw,Aunt,Sisterinlaw,2,1,2,4
If P Q means P is the father of Q P Q means P is the mother of Q and P Q means P is the brother of Q which of the following means M is the nephew of R,R T M,R T M,R T M,T R M,3,2,2,4
Introducing a man a woman said His wife is the only daughter of my fathers mother. How is the woman related to the man,Sister,Aunt,Mother,Cousin,2,1,2,4
A is the father of B and C. B is the husband of D. E is the mother of D. Assuming C is male how is C related to D,Brotherinlaw,Sisterinlaw,Brother,Sister,1,1,2,4
