question,option1,option2,option3,option4,correct_answer,mark_weightage,level,subtopic_id
A is the mother of B. C is the daughter of A. D is the son of B. E is the brother of C. G is the son of A. Who is the nephew of E,B,C,D,A,3,2,2,4
Pointing to a lady a man said She is the daughter of the woman who is the mother of my mothers only son. How is the lady related to the man,Sister,Mother,Aunt,Wife,1,1,2,4
If S is the son of R T is the father of S and U is the mother of T how is U related to R,Mother,Motherinlaw,Daughter,Daughterinlaw,2,1,2,4
A B C D E and F are six members of a family. C is the wife of D. E is the brother of D. F is the daughter of A. B is the son of C. A is the father of B. How is F related to C,Sister,Daughter,Mother,Niece,4,2,2,4
If P Q means P is the sister of Q P Q means P is the husband of Q and P Q means P is the son of Q how is B related to A in the expression A C D B,Daughter,Granddaughter,Sisterinlaw,Cannot be determined,3,2,2,4
AB means A is the brother of B AB means A is the daughter of B AB means A is the son of B. How is P related to S in the expression PQRS,Brother,Son,Grandson,Father,3,2,2,4
A is the father of B. B is the sister of C. C is the mother of D. How is A related to D,Grandfather,Grandmother,Uncle,Aunt,1,1,2,4
Pointing to a picture a person said I have no brother or sister but that mans father is my fathers son. Whose picture was it,His own,His Sons,His Fathers,His Uncles,2,2,2,4
If A B means A is the mother of B and A B means A is the son of B which expression shows M is the grandson of T,T S M,T S M,M S T,T M S,1,1,2,4
A is the father of B and C. B is the daughter of A. D is the brother of B. E is the son of C. F is the fatherinlaw of B. How is D related to E,Brother,Uncle,Cousin,Nephew,3,2,2,4
In a group of six people P Q R S T and U R is the wife of Q. T is the brother of U. U is the daughter of S. Q is the father of U. How is T related to R,Son,Brotherinlaw,Soninlaw,Father,1,1,2,4
The daughter of my fathers wifes brother is my,Niece,Aunt,Cousin,Sister,3,2,2,4
Pointing to a boy a girl says He is the only son of the wife of my mothers father. How is the boy related to the girl,Cousin,Maternal Uncle,Brother,Father,2,1,2,4
A person walks 12 km North turns right and walks 5 km. What is the shortest distance from the starting point,13 km,17 km,7 km,10 km,1,1,2,4
If SouthEast becomes North NorthEast becomes West and so on what will West become,NorthEast,SouthEast,SouthWest,NorthWest,2,2,2,4
A cyclist starts from point A rides 8 km East then turns South and rides 10 km. He then turns West and rides 6 km and finally turns North and rides 10 km. How far and in which direction is he from the starting point A,2 km East,2 km West,4 km East,4 km West,1,1,2,4
A boy is facing NorthWest. He turns 90 in the clockwise direction then 135 in the anticlockwise direction. Which direction is he facing now,West,South,SouthWest,East,1,1,2,4
Raman walks 30 m South. Then he turns left and walks 15 m. Again he turns right and walks 20 m. Finally he turns right and walks 15 m. In which direction is he from his starting point,East,North,West,South,4,2,2,4
A clock is so placed that at 12 noon its minute hand points towards NorthEast. In which direction will its hour hand point at 300 PM,SouthEast,NorthWest,NorthEast,SouthWest,1,2,2,4
A car travels 15 km towards West then turns South and travels 8 km. What is the straightline distance between the starting and ending points,17 km,23 km,7 km,10 km,1,2,2,4
One morning after sunrise Reema and Seema were talking to each other face to face at a crossing. If Reemas shadow was exactly to the right of Seema which direction was Reema facing,North,South,East,West,2,2,2,4
A man is facing South. He turns right and walks 20 m then turns right again and walks 10 m and finally turns left and walks 10 m. In which direction is he walking now,East,West,North,South,1,1,2,4
P Q R S and T are five villages. Q is 15 km to the East of P. R is 12 km to the North of Q. S is 15 km to the West of R. T is 5 km to the South of S. In which direction is T with respect to P,NorthEast,NorthWest,North,South,3,2,2,4
A person walks 4 km East then turns 90 clockwise and walks 3 km. How far is he from his starting point,5 km,7 km,1 km,6 km,1,1,2,4
If PQ means P is 4 m to the East of Q PQ means P is 3 m to the North of Q and P%Q means P is 4 m to the West of Q. If A%BCD what is the direction of A with respect to D,NorthEast,SouthWest,NorthWest,SouthEast,1,2,2,4
Starting from home a boy rides his bike 10 km South then turns right and rides 5 km then turns right and rides 10 km and finally turns left and rides 10 km. How far is he from home,10 km,5 km,15 km,25 km,3,1,2,4
A runner starts facing West. He takes a 45 anticlockwise turn then a 180 turn and finally a 90 clockwise turn. Which direction is he facing now,NorthEast,SouthWest,NorthWest,SouthEast,4,2,2,4
A pole is standing with its shadow falling to the East at 400 PM. In which direction is the pole facing Assume the pole is upright,North,South,East,West,1,2,2,4
Two friends A and B start walking from the same point. A walks 10 km North and B walks 10 km East. What is the shortest distance between them,102 km,20 km,10 km,52 km,1,2,2,4
A bird flies 2 km NorthWest then 2 km SouthWest then 2 km SouthEast and finally 2 km NorthEast. In which direction is the bird from the starting point,North,South,East,At the starting point,4,2,2,4
A student goes 5 km South turns left and goes 3 km then turns right and goes 5 km. Now in which direction is he from the starting point,South,SouthEast,East,SouthWest,2,1,2,4
A river flows West to East. On the way it turns left and goes in a semicircle around a hillock and then turns left again. In which direction is the river flowing now,West,East,North,South,1,2,2,4
Two friends X and Y start from the same point. X walks 8 km South turns right and walks 6 km. Y walks 6 km East turns right and walks 8 km. What is the distance between X and Y,20 km,14 km,10 km,12 km,4,2,2,4
A person drives 10 km North turns left and drives 20 km and then turns left again and drives 10 km. How far is he from the starting point and in what direction,20 km West,10 km West,20 km East,10 km East,1,1,2,4
If North is called NorthWest West is called SouthWest South is called SouthEast and so on what will East be called,NorthEast,SouthEast,North,South,1,1,2,4
A man is facing NorthEast. He rotates 270 anticlockwise and then 45 clockwise. Which direction is he facing now,NorthWest,SouthEast,SouthWest,North,3,2,2,4
Ramesh starts walking 10 m North takes a right turn and walks 15 m. He then takes a left turn and walks 10 m. What is the shortest distance from the starting point,25 m,20 m,325 m,35 m,3,2,2,4
In the evening before sunset a trees shadow fell exactly to the North of the tree. In which direction was the Sun,North,South,East,West,4,1,2,4
If AB means A is the husband of B AB means A is the son of B A B means A is the sister of B. How is Q related to P in the expression PR SQ,Daughter,Mother,Daughterinlaw,Cannot be determined,3,2,3,4
A family has eight members P Q R S T U V and W. There are three married couples. R is the soninlaw of S. T is the father of V. W is the grandmother of Q. P is the father of U who is married to R. S has only two daughters. V is the sister of Q. How is P related to W,Fatherinlaw,Brotherinlaw,Husband,Cannot be determined,2,2,3,4
Pointing to a woman a man says Her mother is the only daughterinlaw of my father who has only one child. How is the mans wife related to the woman,Sister,Mother,Aunt,Daughter,3,1,3,4
Six members in a family K L M N O P. M is the only son of L who is married to P. N is the daughter of M. K is the son of O. O is the motherinlaw of M. How is K related to N,Brother,Maternal Uncle,Paternal Uncle,Cousin,4,2,3,4
If P is the mother of Q Q is the sister of R and R is the husband of S which of the following statements must be FALSE,P is the motherinlaw of S,Q is the aunt of Ss child,S is the daughterinlaw of P,R is the father of Q,4,1,3,4
A woman introduces a man as the son of her brothers fathers wifes only daughter. How is the man related to the woman,Son,Nephew,Cousin,Brother,2,1,3,4
In a family of seven A B C D E F G there are four males and three females. A is the only son of D who is the husband of E. F is the daughter of B. G is the sister of A. C is the motherinlaw of B. B is a male. How is C related to F,Grandmother,Mother,Aunt,Motherinlaw,1,2,3,4
XY means X is the father of Y XY means X is the daughter of Y XY means X is the husband of Y. Which expression indicates that M is the sisterinlaw of P,MNPQ,PNMQ,MNPQ,PNMQ,2,2,3,4
L is the sister of M who is married to O. P is the daughter of L. Q is the son of O. M is the sister of Q. R is the father of O. How is P related to Q,Niece,Nephew,Cousin,Aunt,3,1,3,4
Pointing to a painting Vimal says The person is the mother of my wifes fathers only sister. How is Vimal related to the person in the painting,Son,Soninlaw,Grandson,Greatgrandson,3,2,3,4
If A B means A is the brother of B A % B means A is the father of B and A B means A is the wife of B. Which of the following means M is the maternal uncle of N,MP%QN,MQP%N,NQ%PM,M%PQN,2,2,3,4
A family of four generations has 10 members and three married couples. Q is the son of P. R is the brother of S. T is the mother of U. U is the daughter of V. W is the fatherinlaw of X. X is the sisterinlaw of Y. P is the maternal uncle of R. How is T related to X,Motherinlaw,Grandmother,Sister,Cannot be determined,1,2,3,4
A is the father of B and C. C is the daughter of A. B is the son of D. E is the mother of F. F is the sister of B. How is D related to F,Sister,Mother,Motherinlaw,Aunt,2,1,3,4
In a group of people the father of the daughter of the only son of the wife of a persons father is the persons,Son,Nephew,Cousin,Brother,4,2,3,4
Six friends P Q R S T U are in a family. Q is Ts son. R is Ps mother. U is the wife of P. S is Rs daughter. T and R are married. How is U related to S,Sister,Sisterinlaw,Daughterinlaw,Motherinlaw,2,1,3,4
If PQ means P is the brother of Q PQ means P is the mother of Q and PQ means P is the father of Q. In ABCD how is C related to A,Grandson,Granddaughter,Grandson or Granddaughter,Son,3,2,3,4
My mothers motherinlaws only sons daughter is Riya. How is Riya related to me,Sister,Cousin,Niece,Aunt,1,1,3,4
J is the brother of K L is the sister of M N is the brother of J M is the son of Ks fatherinlaw O is the son of Ns mother. How is L related to O,Niece,Daughter,Cousin,Cannot be determined,3,2,3,4
P is the maternal uncle of Q. S is the sister of R. R is the daughter of Ps wife. T is the husband of S. How is Q related to T,Brotherinlaw,Brother,NephewNiece,Son,3,1,3,4
A family of 6 members A B C D E F has only two generations and two married couples. D is the motherinlaw of A. B is the daughter of C. E is the mother of F. F is the daughter of D. If C is the wife of D how is A related to B,Father,Brother,Sisterinlaw,Brotherinlaw,4,2,3,4
If AB means A is the daughter of B AB means A is the father of B AB means A is the mother of B. What is the relationship of T with V in TUV,Motherinlaw,Daughter,Mother,Granddaughter,1,2,3,4
A woman presents a girl saying She is the daughter of the husband of the mother of my sisters son. How is the girl related to the woman,Sister,Niece,Daughter,Cousin,2,1,3,4
In a family of 5 the gender of a member M is unknown. R is the father of S who is the husband of P. Q is the daughter of P. M is the son of R. How is Q related to M,Sister,Niece,Cousin,Cannot be determined,3,2,3,4
X is the only son of my fatherinlaws wife. What is the mans relationship with Xs child,Grandfather,Father,Uncle,Brother,3,2,3,4
In a family of 8 there are two grandmothers and three married couples. A is the father of B. C is the wife of A. D is the sister of B. E is the brother of C. F is the daughter of G. G is the husband of H. H is the daughterinlaw of A. How is E related to G,Uncle,Fatherinlaw,Brotherinlaw,Soninlaw,3,2,3,4
A man walks 10 km East then turns 135 clockwise and walks 4 km. He then turns 90 anticlockwise and walks 8 km. What is the final direction of travel,North,SouthWest,NorthEast,NorthWest,3,1,3,4
P is 20 m North of Q. R is 10 m West of P. S is 30 m South of R. T is 5 m East of S. U is 10 m South of T. What is the shortest distance between Q and U,25 m,15 m,13 m,10 m,3,2,3,4
A clock is placed such that at 900 AM the hour hand points towards NorthWest. In which direction will the minute hand point at 300 PM,SouthEast,NorthEast,NorthWest,SouthWest,1,2,3,4
A person walks 8 km South turns left and walks 6 km. He then turns right and walks 10 km and finally turns right and walks 6 km. What is the final direction of the person from the starting point,South,SouthEast,East,SouthWest,1,2,3,4
If NorthEast is called East and NorthWest is called North what will SouthEast be called,South,NorthEast,West,SouthWest,4,2,3,4
A car starts from A and travels 5 km North to B then turns right and travels 12 km to C. From C it travels 13 km SouthWest to D. How far is D from A and in which direction,5 km West,5 km East,12 km West,0 km,3,2,3,4
A person is facing North. He turns 100 clockwise then 145 anticlockwise and finally 225 clockwise. Which direction is he facing now,SouthEast,SouthWest,NorthEast,NorthWest,2,2,3,4
An area is defined A is 1 m North of B. C is 3 m East of B. D is 4 m South of C. E is 5 m West of D. F is 5 m North of E. What is the distance between A and F,3 m,4 m,5 m,6 m,1,2,3,4
One evening just before sunset P and Q were talking facetoface. If Ps shadow was exactly to the left of Q which direction was P facing,North,South,East,West,4,1,3,4
A pilot flies 30 km North then turns East and flies 40 km. He then turns 90circ right and flies 12 km. Finally he turns right and flies 40 km. What is the shortest distance from the starting point,18 km,20 km,15 km,22 km,1,2,3,4
Village A is 10 km North of Village B. Village C is 20 km East of Village A. Village D is 25 km South of Village C. Village E is 20 km West of Village D. In which direction is Village E from Village B,NorthEast,North,South,West,3,2,3,4
A person starts at 00 and moves to 43 then to 47 then to 17. What is the shortest distance from the origin to the final point,8 units,10 units,12 units,7.5 units,2,2,3,4
A square field has sides of 20 m. A person starts at the NorthWest corner walks to the SouthEast corner diagonally. How far is the person from the starting point,20 m,40 m,202 m,102 m,3,1,3,4
A man walks 1 km towards a church which is to his West. He then turns right and walks 1 km then turns left and walks 1 km. In which direction is he now facing relative to the churchs initial position,NorthEast,NorthWest,East,North,2,2,3,4
A river flows 10 km North. Then it takes a 90 right turn flows 10 km. Then it takes a 45 left turn flows 10 km. Finally it takes a 135 right turn. What is the final direction of the rivers flow,East,SouthEast,SouthWest,NorthEast,2,2,3,4
P and Q start from the same point. P walks 10 m West turns right and walks 10 m. Q walks 10 m North turns right and walks 10 m. What is the direction of P with respect to Qs final position,SouthWest,SouthEast,NorthWest,NorthEast,1,1,3,4
A person travels 6 km North turns 180 and travels 8 km. Then he turns 90circ left and travels 4 km. How far is he from the starting point,6 km,4 km,5 km,14 km,3,2,3,4
In a faulty map the North direction is marked as West. If a person follows this map to walk to a place originally to the SouthEast what is his actual final direction,NorthWest,SouthWest,NorthEast,SouthEast,3,2,3,4
A man is facing North. He walks 10 m and turns 90 clockwise. He walks 10 m and turns 135 anticlockwise. What is the shortest distance from the starting point,10 m,102 m,20 m,103 m,2,2,3,4
A person walks 3 km North then 4 km East. Then he walks 6 km NorthWest. What is the final positions distance from the starting point,13 km,5 km,3 km,10 km,4,2,3,4
If A is to the SouthWest of B C is to the East of B and NorthWest of A in which direction is C from A,NorthEast,NorthWest,SouthEast,SouthWest,1,1,3,4
In the morning a person walks towards a school such that his shadow is to his right. He turns left after walking 50 m. What is his current direction of travel,North,South,East,West,1,1,3,4
Two points A and B are such that B is 10 m North of A. C is 10 m West of B. D is 10 m South of C. E is 10 m East of D. F is 5 m South of E. What is the direction of F with respect to A,NorthEast,SouthEast,NorthWest,East,4,2,3,4
A tourist walks 10 km NorthEast then 10 km SouthWest. He then walks 10 km SouthEast. What is the final positions distance from the starting point,10 km,20 km,102 km,0 km,1,2,3,4
A person is at the origin 00. They walk a units North b units East a units South and b units West. What is the final displacement,2ab units,0 units,a2b2 units,2ab units,2,1,3,4
She always to school on time.,go,goes,going,went,2,1,1,5
I a cup of coffee every morning.,drink,drinks,drank,will drink,1,1,1,5
They football on Saturdays.,play,plays,played,playing,1,1,1,5
The sun in the east.,rose,rise,rises,rising,3,1,1,5
We English in this class.,study,studies,studying,studied,1,1,1,5
He his teeth twice a day.,brush,brushes,brushed,brushing,2,1,1,5
Birds in the sky.,fly,flies,flew,flying,1,1,1,5
My sister to music every evening.,listen,listens,listened,listening,2,1,1,5
The students their homework.,do,does,doing,did,1,1,1,5
It often in the winter.,snow,snows,snowing,snowed,2,1,1,5
Yesterday I a delicious pizza.,eat,ate,eaten,eating,2,1,1,5
They a new car last month.,buy,buys,bought,buying,3,1,1,5
She me a letter two days ago.,write,writes,wrote,written,3,1,1,5
We to the cinema last night.,go,goes,going,went,4,1,1,5
He the door and left the room.,close,closes,closing,closed,4,1,1,5
My father in Mumbai for ten years.,live,lives,lived,living,3,1,1,5
The class quietly when the teacher arrived.,sit,sits,sat,sitting,3,1,1,5
I my keys somewhere this morning.,lose,loses,lost,losing,3,1,1,5
The baby for an hour.,cry,cries,cried,crying,3,1,1,5
We our grandmother last weekend.,visit,visits,visiting,visited,4,1,1,5
I you tomorrow.,see,saw,will see,seeing,3,1,1,5
They their exams next week.,take,took,will take,taking,3,1,1,5
She for the contest next month.,practice,practiced,will practice,practicing,3,1,1,5
We a party on Friday.,have,had,will have,having,3,1,1,5
He his job next year.,change,changes,changed,will change,4,1,1,5
It warm later today.,is,was,will be,being,3,1,1,5
You the answer soon.,find,found,finding,will find,4,1,1,5
I think it rain.,is,was,will,will be,3,1,1,5
They their grandmother at the airport.,meet,met,will meet,meeting,3,1,1,5
The children outside after lunch.,play,played,will play,playing,3,1,1,5
My parents to visit me next Christmas.,come,came,will come,coming,3,1,1,5
Water at 100C.,boil,boils,boiled,boiling,2,1,1,5
Last night the electricity suddenly .,go out,goes out,went out,will go out,3,1,1,5
I my homework when I get home.,finish,finished,will finish,finishing,3,1,1,5
She to the park every Sunday.,walk,walks,walked,will walk,2,1,1,5
Where you go yesterday,do,does,did,will,3,1,1,5
He not like eating vegetables.,do,does,did,done,2,1,1,5
Next month we a new project.,start,starts,started,will start,4,1,1,5
The concert at 7 PM every Friday.,begin,begins,began,will begin,2,1,1,5
Long ago people without phones.,live,lives,lived,will live,3,1,1,5
I not understand the lesson yesterday.,do,does,did,will,3,1,1,5
They not like the movie.,do,does,did,doing,1,1,1,5
she come to the party next weekend,Do,Does,Did,Will,4,1,1,5
Where you live now,do,does,did,will,1,1,1,5
He not play tennis when he was young.,do,does,did,will,3,1,1,5
The train arrive late tomorrow.,do,did,has,will,4,1,1,5
My dog not bark at strangers.,do,does,did,will,2,1,1,5
they visit Paris last year,Do,Does,Did,Will,3,1,1,5
You not need to worry about that.,do,does,did,done,1,1,1,5
The weather be cold tomorrow.,do,does,did,will,4,1,1,5
She in London since 2010.,lived,has lived,was living,lives,2,2,2,5
I that movie last night.,have seen,saw,see,am seeing,2,1,2,5
How long you for that company,have...work,are...working,have...been working,did...work,3,2,2,5
We our grandmother tomorrow evening.,visit,are visiting,visited,will visited,2,1,2,5
While I dinner the phone .,ate rang,was eating rang,eat rings,am eating rang,2,2,2,5
At 8 PM yesterday he a book.,read,reads,was reading,had read,3,1,2,5
I promise I you with your bags.,help,helped,will help,am helping,3,1,2,5
By next June she her degree.,completes,will complete,will have completed,had completed,3,2,2,5
The train before we arrived at the station.,left,was leaving,had left,has left,3,2,2,5
If he late we without him.,is will start,was started,is started,will be start,1,2,2,5
If I rich I a mansion.,was bought,am will buy,were would buy,have been buy,3,2,2,5
English by millions of people.,speak,is spoken,speaks,was spoken,2,1,2,5
The window by the storm yesterday.,broke,was broken,break,breaks,2,1,2,5
He said he finished the report.,has,had,is,was,2,2,2,5
She often hiking on weekends.,go,goes,went,is going,2,1,2,5
I all morning and now Im tired.,have studied,study,have been studying,studied,3,2,2,5
They for an hour when the bus finally arrived.,waited,have been waiting,had been waiting,were waiting,3,2,2,5
This time next week I on a beach.,will lie,am lying,will be lying,have been lying,3,2,2,5
If you heat ice it .,melt,melted,melts,will melt,3,1,2,5
Columbus America in 1492.,discovered,has discovered,discovers,was discovering,1,1,2,5
I three books this week.,read,reads,have read,had read,3,2,2,5
The documents yet.,hasnt signed,havent been signed,didnt sign,wont sign,2,2,2,5
I realized I my wallet at home after I left.,forgot,had forgotten,have forgotten,was forgetting,2,2,2,5
By the end of this year they here for 10 years.,will live,will have lived,will be living,will have been living,4,2,2,5
He always loudly during meetings.,is...talking,talks,was...talking,will...talk,1,2,2,5
Look at those clouds It rain soon.,is going to,will,is,does,1,1,2,5
He cut his hand while he the vegetables.,cut,was cutting,cuts,is cutting,2,1,2,5
She was tired because she all day.,worked,has worked,had been working,was working,3,2,2,5
If you water to 0C it freezes.,cool,cooled,will cool,are cooling,1,1,2,5
They noise since 9 AM this morning.,made,are making,have been making,had made,3,2,2,5
The meeting tomorrow.,will hold,is held,will be held,was held,3,1,2,5
My grandfather in 1995.,dies,died,has died,was dying,2,1,2,5
I English for ten years by the time I graduate.,will study,will have studied,will be studying,will have been studying,4,2,2,5
As soon as she the letter she it to the trash.,reads threw,read throws,read threw,had read threw,3,2,2,5
We arrived home from the trip.,just,have just,did just,were just,2,1,2,5
The problem needs immediately.,solving,to solve,to be solved,solved,3,2,2,5
If I the keys I the door.,didnt lose would have opened,hadnt lost would have opened,didnt lose opened,had lost would open,2,2,2,5
I broke my leg while I skiing.,go,went,am going,was going,4,1,2,5
He was sad because he all his money.,lost,has lost,had lost,was losing,3,1,2,5
Dont call me at 7 PM I dinner then.,am having,will have,will be having,had,3,1,2,5
The flight at 600 AM tomorrow.,leave,leaves,left,is leaving,2,1,2,5
A new bridge by the end of the year.,will build,will be built,is built,was built,2,2,2,5
If they harder they better results.,study got,studied would get,study will get,had studied would get,2,2,2,5
you the news yet,Did...hear,Have...heard,Do...hear,Are...hearing,2,2,2,5
Before she got the job she interviews for months.,was attending,had been attending,attended,has been attending,2,2,2,5
I in a hotel until I find an apartment.,stay,stays,am staying,stayed,3,1,2,5
He told me that he to New York the year before.,goes,went,had gone,has gone,3,2,2,5
I remember to the opera house for the first time.,taking,being taken,to take,to be taken,2,2,2,5
My car broken down since last Tuesday.,is,was,has been,had been,3,2,2,5
By the time you wake up I breakfast.,will make,will have made,will be making,make,2,2,2,5
After he the marathon he felt a pain he before.,finished never felt,had finished never felt,finished had never felt,had finished never feel,3,2,3,5
By 2026 I in this city for thirty years.,will live,will be living,will have been living,will have lived,3,2,3,5
I to call her when my battery died.,am just going,was just going,had just gone,just go,2,2,3,5
The historic building right now.,is repairing,is being repaired,has been repaired,was being repaired,2,2,3,5
If she my advice she the contract.,had taken wouldnt lose,took wouldnt lose,has taken wouldnt have lost,had taken wouldnt have lost,4,2,3,5
If he that course last year he a better job now.,hadnt taken wouldnt have,didnt take wouldnt have,hadnt taken wouldnt have had,didnt take wouldnt have,3,2,3,5
You him the truth now its too late.,should tell,should be telling,should have told,must have told,3,2,3,5
Hardly the thief the house when the alarm went off.,did enter,had entered,has entered,was entering,2,2,3,5
The new evidence by the jury yet.,hasnt been seen,wasnt seen,didnt see,hasnt seen,1,2,3,5
She her novel for two years but still hasnt finished.,has been writing,wrote,is writing,was writing,1,2,3,5
I the CEO at the conference next week.,meet,will meet,will be meeting,am meeting,3,2,3,5
He claimed that the company profits since the merger.,has doubled,had doubled,doubles,doubled,2,2,3,5
I known about the party I would have attended.,If,Had,Did,Would,2,2,3,5
My neighbour always his music loudly after midnight.,is playing,plays,had played,was playing,1,2,3,5
I was exhausted because I all weekend.,have been driving,had been driving,drove,was driving,2,2,3,5
The final bus to the airport at 1130 PM.,leaves,will leave,is leaving,left,1,2,3,5
The suspect closely when he suddenly escaped.,was being watched,was watching,had watched,has been watched,1,2,3,5
They the message but their phone was off.,could miss,could have missed,must miss,might missed,2,2,3,5
I the letter as soon as I the required stamps.,will send will buy,send buy,will send buy,send will buy,3,2,3,5
If I fluent in French I in Paris.,was would work,were would work,am will work,had been worked,2,2,3,5
This silk incredibly smooth.,feels,is feeling,felt,will feel,1,2,3,5
Although she last year she still this town.,left loves,has left loved,had left is loving,leaves loved,1,2,3,5
By the time the bill passes it heavily by the media.,will have discussed,will have been discussed,will be discussed,will discuss,2,2,3,5
No sooner the game than the power went out.,did start,had started,was starting,is starting,2,2,3,5
If the company better they bankrupt.,managed wouldnt go,had managed wouldnt have gone,manages wont go,manage wouldnt go,2,2,3,5
She realized she that stranger somewhere before.,saw,sees,has seen,had seen,4,2,3,5
The project finished by Friday but there were delays.,should have finished,should have been finished,must be finished,should be finishing,2,2,3,5
As the music the crowd louder.,played were cheering,played cheered,was playing cheered,was playing was cheering,4,2,3,5
The contractor expects that they the roof by next Monday.,will finish,will have finished,are finishing,have finished,2,2,3,5
The commentator says He the ball and,catches shoot,caught shot,catches shoots,is catching shooting,3,2,3,5
The car needs before the long journey.,serviced,to be serviced,servicing,to service,2,2,3,5
Unless you now you the deadline.,leave wont meet,left wouldnt meet,dont leave meet,leave will meet,1,2,3,5
My brother constantly his keys.,is losing,loses,lost,will be losing,1,2,3,5
He admitted that the money by someone else.,was taking,has been taken,had been taken,took,3,2,3,5
If I better at math I for that engineering job.,were could have applied,was could apply,were would apply,am could have applied,1,2,3,5
I a bath when the doorbell .,was taking rang,took rang,take rings,had taken rang,1,2,3,5
My eyes hurt because I at the screen all day.,look,have looked,have been looking,was looking,3,2,3,5
I believe humans on Mars within the next century.,land,are landing,will land,are going to land,3,2,3,5
The stolen jewels before the police arrived.,had been hidden,had hidden,were hidden,were being hidden,1,2,3,5
While the children in the garden their parents tea.,played drank,were playing drank,were playing were drinking,played were drinking,3,2,3,5
If we the meeting we their decision sooner.,hadnt missed would have known,didnt miss would know,hadnt missed would know,miss will know,1,2,3,5
I dont what you about.,understand are talking,am understanding talk,understand talk,understand talked,1,2,3,5
She hasnt answered she the flight already.,might have boarded,must board,had boarded,should have boarded,1,2,3,5
At this time tomorrow the presentation to the board.,will be giving,will be being given,will be given,will have been given,2,2,3,5
As soon as the sun we our climb.,sets started,set start,had set started,set started,4,2,3,5
In two weeks I on this research for exactly one year.,will work,will be working,will have been working,will have worked,3,2,3,5
I usually drink tea but this week I coffee.,drink,am drinking,was drinking,had drunk,2,2,3,5
If the contract properly we this lawsuit.,had been written wouldnt face,were written wouldnt face,was written wouldnt face,had been written wouldnt have faced,4,2,3,5
Before they introduced the new system everyone handwritten records.,was using,had used,used,uses,3,2,3,5
He here an hour ago but his train was cancelled.,must be,ought to have been,should be,must have been,2,2,3,5
